filter_mode,task,task_type,scenario,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,parameter_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source,seed
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_v3,94,1012154,0.9211009174311928,0.9204056865464632,0.9211009174311926,0.9205583539656792,"{'Camera': 1.0, 'Light_T1': 0.8018867924528302, 'Light_XM': 0.8144796380090498, 'Sensor': 0.9864253393665159, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 85, 22, 2, 0], [0, 18, 90, 1, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",preserved_baseline,42
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_v5,94,1225296,0.9027522935779816,0.9032640424590888,0.9027522935779816,0.9018818414557764,"{'Camera': 0.9953917050691244, 'Light_T1': 0.7807017543859649, 'Light_XM': 0.7647058823529411, 'Sensor': 0.968609865470852, 'Socket': 1.0}","[[108, 0, 1, 0, 0], [0, 89, 16, 4, 0], [0, 29, 78, 2, 0], [0, 1, 0, 108, 0], [0, 0, 0, 0, 109]]",preserved_baseline,42
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_inception,94,763092,0.8990825688073395,0.8996291301677803,0.8990825688073395,0.8989489555666385,"{'Camera': 1.0, 'Light_T1': 0.7428571428571429, 'Light_XM': 0.7610619469026548, 'Sensor': 0.9908256880733946, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 78, 31, 0, 0], [0, 22, 86, 1, 0], [0, 1, 0, 108, 0], [0, 0, 0, 0, 109]]",strict_split_trained,42
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_tcn,94,814854,0.910091743119266,0.9121960805831776,0.910091743119266,0.9092084903357758,"{'Camera': 0.990909090909091, 'Light_T1': 0.77, 'Light_XM': 0.7896995708154506, 'Sensor': 0.9954337899543378, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 77, 32, 0, 0], [2, 14, 92, 1, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",strict_split_trained,42
raw_all,single_round_R2,single_round,IID,['R2'],['R2'],1271,545,all_features,cnn1d_convnext,94,1079570,0.9137614678899084,0.9142919799498744,0.9137614678899082,0.9128857186139488,"{'Camera': 1.0, 'Light_T1': 0.7745098039215687, 'Light_XM': 0.8034934497816594, 'Sensor': 0.9864253393665159, 'Socket': 1.0}","[[109, 0, 0, 0, 0], [0, 79, 28, 2, 0], [0, 16, 92, 1, 0], [0, 0, 0, 109, 0], [0, 0, 0, 0, 109]]",strict_split_trained,42
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_v3,94,1012154,0.9510869565217392,0.951026026026026,0.950938544883499,0.95088309281199,"{'Camera': 0.981651376146789, 'Light_T1': 0.990909090909091, 'Light_XM': 0.8949771689497716, 'Sensor': 0.8868778280542986, 'Socket': 1.0}","[[107, 0, 0, 3, 0], [0, 109, 0, 0, 0], [1, 1, 98, 11, 0], [0, 1, 10, 98, 0], [0, 0, 0, 0, 113]]",preserved_baseline,42
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_v5,94,1225296,0.9510869565217392,0.9519980663873672,0.9509716054670182,0.9512166744176216,"{'Camera': 0.9861751152073732, 'Light_T1': 1.0, 'Light_XM': 0.8899082568807339, 'Sensor': 0.88, 'Socket': 1.0}","[[107, 0, 0, 3, 0], [0, 109, 0, 0, 0], [0, 0, 97, 14, 0], [0, 0, 10, 99, 0], [0, 0, 0, 0, 113]]",preserved_baseline,42
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_inception,94,763092,0.9438405797101448,0.9440627320468432,0.9436815965256332,0.9436594725868094,"{'Camera': 0.9908256880733946, 'Light_T1': 0.990909090909091, 'Light_XM': 0.8755760368663594, 'Sensor': 0.8609865470852018, 'Socket': 1.0}","[[108, 0, 0, 2, 0], [0, 109, 0, 0, 0], [0, 0, 95, 16, 0], [0, 2, 11, 96, 0], [0, 0, 0, 0, 113]]",strict_split_trained,42
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_tcn,94,814854,0.9583333333333334,0.9587676962676962,0.9581788126742256,0.9584025253854476,"{'Camera': 0.9861751152073732, 'Light_T1': 1.0, 'Light_XM': 0.9099099099099099, 'Sensor': 0.8959276018099548, 'Socket': 1.0}","[[107, 0, 0, 3, 0], [0, 109, 0, 0, 0], [0, 0, 101, 10, 0], [0, 0, 10, 99, 0], [0, 0, 0, 0, 113]]",strict_split_trained,42
raw_all,single_round_R3,single_round,IID,['R3'],['R3'],1285,552,all_features,cnn1d_convnext,94,1079570,0.9438405797101448,0.944121987211018,0.9436979765420134,0.9437611316280916,"{'Camera': 0.9954337899543378, 'Light_T1': 1.0, 'Light_XM': 0.8623853211009175, 'Sensor': 0.8609865470852018, 'Socket': 1.0}","[[109, 0, 0, 1, 0], [0, 109, 0, 0, 0], [0, 0, 94, 17, 0], [0, 0, 13, 96, 0], [0, 0, 0, 0, 113]]",strict_split_trained,42
