task,cpd,cpd_level,stacking_f1,best_base_f1,best_base_model,gain_absolute,gain_relative
single_round_R2,0.1179391709316958,Low,0.9559484718363223,0.9576196593728327,rf,-0.00167118753651041,-0.001745147481208677
single_round_R3,0.12727181821478004,Low,0.9620267379625806,0.9638413087408312,lightgbm,-0.001814570778250535,-0.0018826447484608254
single_round_R4,0.0628161968037337,Low,0.943565353943475,0.9455011164248625,xgboost,-0.001935762481387493,-0.002047340238694816
loro_R2_R3_to_R4,0.8358790194733152,High,0.6633973775317822,0.6661799166983895,lightgbm,-0.002782539166607312,-0.004176858378435771
loro_R2_R4_to_R3,0.8014316033268614,High,0.5454822508677128,0.6148161314237031,rf,-0.06933388055599021,-0.11277173290075644
loro_R3_R4_to_R2,0.31697085492696214,Medium,0.7905353668369289,0.8097991283932819,rf,-0.01926376155635301,-0.023788320931604524
joint_R2_R3_R4,0.0,Low,0.9488916724583788,0.9519085264392663,lightgbm,-0.0030168539808874684,-0.0031692687869625358
position_R2_R3_R4_to_R5,0.5328385658861537,High,0.6678293830376971,0.7012224296594887,rf,-0.033393046621791544,-0.04762119009514156
jitter_R2_R3_R4_to_R6,0.3561022243080122,Medium,0.7730661144614588,0.7783647964241942,xgboost,-0.005298681962735419,-0.006807453249527149
jitter_R2_R3_R4_to_R7,0.21841264475217634,Medium,0.8204439830298785,0.8219721259799911,rf,-0.0015281429501126098,-0.001859117726517418
jitter_R2_R3_R4_to_R6_R7,0.2814929493331074,Medium,0.796911118856371,0.797025777793998,xgboost,-0.00011465893762696577,-0.00014385850598749508
