scenario,model,all_features,selected_features
cross_jitter,extra_trees,0.75127,0.751956
cross_jitter,lightgbm,0.786551,0.781834
cross_jitter,rf,0.785534,0.764227
cross_jitter,stacking,0.796807,0.78515
cross_jitter,xgboost,0.796942,0.788033
cross_position,extra_trees,0.642276,0.608794
cross_position,lightgbm,0.658391,0.65069
cross_position,rf,0.701222,0.654071
cross_position,stacking,0.667829,0.636469
cross_position,xgboost,0.660307,0.643236
joint,extra_trees,0.900271,0.908574
joint,lightgbm,0.951909,0.943399
joint,rf,0.930659,0.920232
joint,stacking,0.948892,0.942808
joint,xgboost,0.947116,0.940999
loro,extra_trees,0.677154,0.640166
loro,lightgbm,0.670781,0.658773
loro,rf,0.694609,0.666868
loro,stacking,0.666472,0.65746
loro,xgboost,0.656748,0.653671
single_round,extra_trees,0.945663,0.950062
single_round,lightgbm,0.953767,0.949528
single_round,rf,0.95374,0.952314
single_round,stacking,0.953847,0.94957
single_round,xgboost,0.953814,0.948896
