task,feature_set,extra_trees,lightgbm,rf,stacking,xgboost
jitter_R2_R3_R4_to_R6,all_features,0.7037223340040242,0.761569416498994,0.7454728370221329,0.7681086519114688,0.7756539235412475
jitter_R2_R3_R4_to_R6,selected_features,0.7007042253521126,0.7404426559356136,0.7188128772635815,0.7540241448692153,0.7605633802816901
jitter_R2_R3_R4_to_R6_R7,all_features,0.7505651846269782,0.787490580256217,0.7832202964079377,0.7930168299422256,0.7950263752825923
jitter_R2_R3_R4_to_R6_R7,selected_features,0.7505651846269782,0.7751821150464707,0.7611152976639035,0.7837226827430294,0.785983421250942
jitter_R2_R3_R4_to_R7,all_features,0.7972905168088309,0.8133467134972403,0.8208730556949323,0.8178625188158555,0.814350225790266
jitter_R2_R3_R4_to_R7,selected_features,0.8003010536879077,0.8098344204716508,0.8033115905669844,0.8133467134972403,0.8113396889111891
joint_R2_R3_R4,all_features,0.9007263922518159,0.9521791767554479,0.9309927360774818,0.9497578692493946,0.9473365617433414
joint_R2_R3_R4,selected_features,0.9092009685230025,0.9455205811138014,0.9207021791767555,0.9449152542372882,0.9412832929782082
loro_R2_R3_to_R4,all_features,0.7145169994603346,0.7155963302752294,0.7069616837560713,0.715056664867782,0.712358337830545
loro_R2_R3_to_R4,selected_features,0.7112790070156503,0.7177549919050189,0.7112790070156503,0.7161359956826767,0.7231516459794927
loro_R2_R4_to_R3,all_features,0.6102340772999456,0.5993467610234078,0.6336418072945019,0.5911812738160044,0.5802939575394666
loro_R2_R4_to_R3,selected_features,0.5661404463799673,0.5895481763745237,0.5824714207947741,0.5846488840500816,0.583015786608601
loro_R3_R4_to_R2,all_features,0.7769823788546255,0.7951541850220264,0.8083700440528634,0.7990088105726872,0.7786343612334802
loro_R3_R4_to_R2,selected_features,0.7626651982378855,0.8001101321585903,0.8083700440528634,0.802863436123348,0.7808370044052864
position_R2_R3_R4_to_R5,all_features,0.6547356828193832,0.6822687224669604,0.711453744493392,0.6877753303964758,0.6855726872246696
position_R2_R3_R4_to_R5,selected_features,0.6189427312775331,0.6657488986784141,0.6662995594713657,0.6596916299559471,0.6685022026431718
single_round_R2,all_features,0.9486238532110092,0.9559633027522936,0.9577981651376147,0.9559633027522936,0.9522935779816514
single_round_R2,selected_features,0.9504587155963303,0.9339449541284404,0.9486238532110092,0.9394495412844037,0.9357798165137615
single_round_R3,all_features,0.9565217391304348,0.9619565217391305,0.9601449275362319,0.9619565217391305,0.9637681159420289
single_round_R3,selected_features,0.9547101449275363,0.9601449275362319,0.9655797101449275,0.9601449275362319,0.9583333333333334
single_round_R4,all_features,0.9334532374100719,0.9442446043165468,0.9442446043165468,0.9442446043165468,0.9460431654676259
single_round_R4,selected_features,0.9460431654676259,0.9424460431654677,0.9442446043165468,0.9514388489208633,0.9532374100719424
